第2组 第二轮回答正确, 模型答案: ####70000####, 正确答案: 70000
第16组 第二轮回答正确, 模型答案: 230, 正确答案: 230
第28组 第二轮回答正确, 模型答案: 25, 正确答案: 25
第38组 第二轮回答正确, 模型答案: ####10####, 正确答案: 10
第40组 第二轮回答正确, 模型答案: 8, 正确答案: 8
第41组 第二轮回答正确, 模型答案: ####1200####, 正确答案: 200
第42组 第二轮回答正确, 模型答案: ####26####, 正确答案: 26
第48组 第二轮回答正确, 模型答案: 8, 正确答案: 8
第52组 第二轮回答正确, 模型答案: 15, 正确答案: 15
第53组 第二轮回答正确, 模型答案: 240, 正确答案: 40
第56组 第二轮回答正确, 模型答案: ####3####, 正确答案: 3
第65组 第二轮回答正确, 模型答案: 36, 正确答案: 36
第66组 第二轮回答正确, 模型答案: 48, 正确答案: 48
第76组 第二轮回答正确, 模型答案: 4.45, 正确答案: 5
第79组 第二轮回答正确, 模型答案: 70, 正确答案: 70
第88组 第二轮回答正确, 模型答案: 8000, 正确答案: 8000
第95组 第二轮回答正确, 模型答案: 40, 正确答案: 40
第99组 第二轮回答正确, 模型答案: 58, 正确答案: 58
第103组 第二轮回答正确, 模型答案: ####140####, 正确答案: 140
第107组 第二轮回答正确, 模型答案: ####3####, 正确答案: 3
第112组 第二轮回答正确, 模型答案: 24, 正确答案: 24
第120组 第二轮回答正确, 模型答案: 240, 正确答案: 240
第130组 第二轮回答正确, 模型答案: 30, 正确答案: 30
第134组 第二轮回答正确, 模型答案: 720, 正确答案: 720
第136组 第二轮回答正确, 模型答案: ####6####, 正确答案: 6
第137组 第二轮回答正确, 模型答案: Rory's order costs $15.00 for subs, $3.00 for chips, and $2.00 for cookies, totaling $20.00. The delivery fee is $4.00, and she adds a $5.00 tip, making her total $29.00., 正确答案: 29
第142组 第二轮回答正确, 模型答案: $140, 正确答案: 140
第145组 第二轮回答正确, 模型答案: 4000, 正确答案: 4000
第149组 第二轮回答正确, 模型答案: 16, 正确答案: 16
第150组 第二轮回答正确, 模型答案: ####4.08####, 正确答案: 4
第153组 第二轮回答正确, 模型答案: 48, 正确答案: 48
第158组 第二轮回答正确, 模型答案: ####34.0####, 正确答案: 34
第166组 第二轮回答正确, 模型答案: 45, 正确答案: 5
第167组 第二轮回答正确, 模型答案: 16, 正确答案: 16
第168组 第二轮回答正确, 模型答案: $18, 正确答案: 18
第180组 第二轮回答正确, 模型答案: 20, 正确答案: 20
第188组 第二轮回答正确, 模型答案: 50, 正确答案: 50
第190组 第二轮回答正确, 模型答案: 360, 正确答案: 360
第191组 第二轮回答正确, 模型答案: 4.642857142857143, 正确答案: 5
第194组 第二轮回答正确, 模型答案: $10, 正确答案: 10
第197组 第二轮回答正确, 模型答案: 6277, 正确答案: 6277
第200组 第二轮回答正确, 模型答案: 55, 正确答案: 55
第202组 第二轮回答正确, 模型答案: ####100####, 正确答案: 100
第213组 第二轮回答正确, 模型答案: 250, 正确答案: 250
第224组 第二轮回答正确, 模型答案: 90 + 90 = 180, 正确答案: 180
第227组 第二轮回答正确, 模型答案: ####9.00####, 正确答案: 9
第233组 第二轮回答正确, 模型答案: 12, 正确答案: 12
第235组 第二轮回答正确, 模型答案: 10, 正确答案: 10
第237组 第二轮回答正确, 模型答案: 90, 正确答案: 90
第241组 第二轮回答正确, 模型答案: 6, 正确答案: 6
第248组 第二轮回答正确, 模型答案: 300, 正确答案: 300
第253组 第二轮回答正确, 模型答案: 18, 正确答案: 18
第257组 第二轮回答正确, 模型答案: ####5600####, 正确答案: 5600
第258组 第二轮回答正确, 模型答案: $6.00, 正确答案: 6
第263组 第二轮回答正确, 模型答案: 8, 正确答案: 8
第272组 第二轮回答正确, 模型答案: ####5.60####, 正确答案: 5
第286组 第二轮回答正确, 模型答案: 90, 正确答案: 90
第291组 第二轮回答正确, 模型答案: 24, 正确答案: 2
第307组 第二轮回答正确, 模型答案: 16, 正确答案: 16
第308组 第二轮回答正确, 模型答案: $6.0$, 正确答案: 6
第319组 第二轮回答正确, 模型答案: 15, 正确答案: 15
第321组 第二轮回答正确, 模型答案: $1, 正确答案: 1
第322组 第二轮回答正确, 模型答案: Jam has 26 pencils and Meg has 46 pencils, so together they have 72 pencils. Each box can hold 8 pencils, so they would need 9 boxes to store all their pencils., 正确答案: 9
第324组 第二轮回答正确, 模型答案: 14, 正确答案: 14
第344组 第二轮回答正确, 模型答案: 2, 正确答案: 2
第346组 第二轮回答正确, 模型答案: 36 - (4 * 5) - (1 * 7) = 36 - 20 - 7 = 9, 正确答案: 9
第347组 第二轮回答正确, 模型答案: $36, 正确答案: 36
第366组 第二轮回答正确, 模型答案: 19, 正确答案: 9
第370组 第二轮回答正确, 模型答案: 320, 正确答案: 320
第373组 第二轮回答正确, 模型答案: 240000, 正确答案: 240000
第375组 第二轮回答正确, 模型答案: 48, 正确答案: 48
第379组 第二轮回答正确, 模型答案: 21, 正确答案: 21
第386组 第二轮回答正确, 模型答案: 80.2, 正确答案: 80
第390组 第二轮回答正确, 模型答案: ####12####, 正确答案: 12
第391组 第二轮回答正确, 模型答案: 15, 正确答案: 15
第393组 第二轮回答正确, 模型答案: 20, 正确答案: 20
第395组 第二轮回答正确, 模型答案: 38, 正确答案: 38
第397组 第二轮回答正确, 模型答案: 25, 正确答案: 25
第403组 第二轮回答正确, 模型答案: 81, 正确答案: 81
第405组 第二轮回答正确, 模型答案: ####50####, 正确答案: 50
第412组 第二轮回答正确, 模型答案: ####15####, 正确答案: 5
第413组 第二轮回答正确, 模型答案: 250, 正确答案: 25
第418组 第二轮回答正确, 模型答案: 40, 正确答案: 40
第431组 第二轮回答正确, 模型答案: $1, 正确答案: 1
第434组 第二轮回答正确, 模型答案: ####5####, 正确答案: 5
第435组 第二轮回答正确, 模型答案: 5, 正确答案: 5
第441组 第二轮回答正确, 模型答案: 80, 正确答案: 80
第455组 第二轮回答正确, 模型答案: Bob needs to fill 10 raised beds, each of which has a volume of 2*8*2 = 32 cubic feet. So he needs 32*10 = 320 cubic feet of soil. Each bag of soil holds 2 cubic feet, so he needs 320/2 = 160 bags of soil. At $12 per bag, the soil will cost him 160*12 = $1920., 正确答案: 1920
第463组 第二轮回答正确, 模型答案: ####18####, 正确答案: 18
第474组 第二轮回答正确, 模型答案: 80, 正确答案: 80
第486组 第二轮回答正确, 模型答案: 60, 正确答案: 6
第490组 第二轮回答正确, 模型答案: 4, 正确答案: 4
第491组 第二轮回答正确, 模型答案: 16, 正确答案: 16
第504组 第二轮回答正确, 模型答案: 2, 正确答案: 2
第514组 第二轮回答正确, 模型答案: 90000, 正确答案: 90000
第516组 第二轮回答正确, 模型答案: 375, 正确答案: 375
