第2组 第一轮回答正确, 模型答案: ####3####, 正确答案: 3
第4组 第一轮回答正确, 模型答案: ####540####, 正确答案: 540
第10组 第一轮回答正确, 模型答案: ####460.5####, 正确答案: 460
第17组 第一轮回答正确, 模型答案: ####230####, 正确答案: 230
第20组 第一轮回答正确, 模型答案: ####6####, 正确答案: 6
第23组 第一轮回答正确, 模型答案: ####7####, 正确答案: 7
第26组 第一轮回答正确, 模型答案: ####2####, 正确答案: 2
第28组 第一轮回答正确, 模型答案: ####16.00####, 正确答案: 16
第29组 第一轮回答正确, 模型答案: ####25####, 正确答案: 25
第35组 第一轮回答正确, 模型答案: ####23####, 正确答案: 23
第37组 第一轮回答正确, 模型答案: ####75.00####, 正确答案: 75
第39组 第一轮回答正确, 模型答案: ####10####, 正确答案: 10
第41组 第一轮回答正确, 模型答案: ####8####, 正确答案: 8
第42组 第一轮回答正确, 模型答案: ####1200####, 正确答案: 200
第50组 第一轮回答正确, 模型答案: ####30####, 正确答案: 30
第53组 第一轮回答正确, 模型答案: ####15####, 正确答案: 15
第57组 第一轮回答正确, 模型答案: ####3####, 正确答案: 3
第60组 第一轮回答正确, 模型答案: ####187####, 正确答案: 187
第65组 第一轮回答正确, 模型答案: ####300####, 正确答案: 300
第67组 第一轮回答正确, 模型答案: ####48####, 正确答案: 48
第78组 第一轮回答正确, 模型答案: ####100####, 正确答案: 100
第80组 第一轮回答正确, 模型答案: ####70####, 正确答案: 70
第84组 第一轮回答正确, 模型答案: ####600####, 正确答案: 600
第89组 第一轮回答正确, 模型答案: ####8000####, 正确答案: 8000
第90组 第一轮回答正确, 模型答案: ####24####, 正确答案: 24
第96组 第一轮回答正确, 模型答案: ####40####, 正确答案: 40
第97组 第一轮回答正确, 模型答案: ####3####, 正确答案: 3
第104组 第一轮回答正确, 模型答案: ####140####, 正确答案: 140
第113组 第一轮回答正确, 模型答案: ####24####, 正确答案: 24
第114组 第一轮回答正确, 模型答案: ####25####, 正确答案: 25
第118组 第一轮回答正确, 模型答案: ####360####, 正确答案: 360
第119组 第一轮回答正确, 模型答案: ####4####, 正确答案: 4
第121组 第一轮回答正确, 模型答案: ####240####, 正确答案: 240
第128组 第一轮回答正确, 模型答案: ####120####, 正确答案: 120
第130组 第一轮回答正确, 模型答案: ####10000####, 正确答案: 10000
第132组 第一轮回答正确, 模型答案: ####940####, 正确答案: 940
