"设正实数 $x$、$y$ 和 $z$ 满足以下方程组：

$$
\log_2\left(\frac{x}{yz}\right) = \frac{1}{2}
$$
$$
\log_2\left(\frac{y}{xz}\right) = \frac{1}{3}
$$
$$
\log_2\left(\frac{z}{xy}\right) = \frac{1}{4}
$$

则 $\left|\log_2(x^4y^2z^2)\right|$ 的值为 $\frac{m}{n}$，其中 $m$ 和 $n$ 是互素的正整数。求 $m+n$。",15
"设 $O(0,0), A(\tfrac{1}{2}, 0)$ 和 $B(0, \tfrac{\sqrt{3}}{2})$ 是坐标平面上的点。设 $\mathcal{F}$ 表示所有单位长度的线段 $\overline{PQ}$ 构成的集合，其中每条线段位于第一象限内，且端点分别在 $x$ 轴和 $y$ 轴上。除了线段 $\overline{AB}$ 本身外，在 $\overline{AB}$ 上存在唯一一个异于 $A$ 和 $B$ 的点 $C$，使得 $C$ 不在 $\mathcal{F}$ 中任意一条线段上。已知 $OC^6 = \tfrac{p}{q}$，其中 $p$ 和 $q$ 为互质的正整数，求 $p + q$。",4439
"珍参加一个抽奖活动，从集合 $S=\{1,2,3,\cdots,8,9\}$ 中选出 4 个不同的数字。之后，该集合中会随机抽出 4 个不同的数字。若她所选的数字中至少有 2 个与抽中的数字相同，则她获得一个奖品；若她所选的 4 个数字完全与抽中的 4 个数字一致，则她获得头奖。已知珍获得了奖品，求她在这一条件下赢得头奖的概率为 $\tfrac{m}{n}$，其中 $m$ 和 $n$ 为互质的正整数。求 $m+n$。",82
爱丽丝和鲍勃进行如下游戏：他们有一堆共 $n$ 个筹码，两人轮流操作，爱丽丝先手。每次操作时，玩家可以从中取走 $1$ 个或 $4$ 个筹码。取走最后一个筹码的人获胜。求满足 $1 \leq n \leq 1973$ 且存在一种策略使得无论爱丽丝如何应对，鲍勃都能必胜的正整数 $n$ 的个数。,789
八个半径为 $34$ 的圆依次相切，其中有两个圆分别与三角形 $ABC$ 的边 $AB$ 和 $BC$ 相切。类似地，也可以用 $2134$ 个半径为 $1$ 的圆以同样的方式排列。若三角形 $ABC$ 的内切圆半径可表示为 $\frac{m}{n}$，其中 $m$ 和 $n$ 是互素的正整数，求 $m+n$。,74179
"定义函数 $f(x)=\left| | x|-\tfrac{1}{2} \right|$ 与 $g(x)=\left| | x|-\tfrac{1}{4} \right|$。求下列两个图像的交点数目：  
$$y=4 g(f(\sin (2 \pi x))) \quad\text{ 和 }\quad x=4 g(f(\cos (6 \pi y)))。$$",769
一个正六边形的每个顶点被独立地染成红色或蓝色，每种颜色出现的概率相同。求存在某个旋转操作，使得所有蓝色顶点恰好落在原先红色顶点位置上的概率为 $\tfrac{m}{n}$，其中 $m$ 和 $n$ 是互质的正整数。求 $m+n$ 的值。,47
"求满足 $a + b + c = 300$ 且 $$a^2b + a^2c + b^2a + b^2c + c^2a + c^2b = 6058800$$ 的非负整数解 $(a,b,c)$ 的个数。",6
存在大于 1 的实数 $ x $ 和 $ y $，满足 $ \log_x\left(y^x\right)=\log_y\left(x^{4y}\right)=8 $。求 $ xy $ 的值。,16
爱丽丝选定了一个由正整数组成的集合 $A$。接着，鲍勃列出了所有满足以下条件的有限非空集合 $B$：集合 $B$ 的最大值是 $A$ 中的一个元素。已知鲍勃列出的集合共有 2074 个。求集合 $A$ 中所有元素的和。,23
x,x
