"Пусть $x, y$ и $z$ — положительные действительные числа, удовлетворяющие следующей системе уравнений:
\[\log_2\left({x \over yz}\right) = {1 \over 935}\]
\[\log_2\left({y \over xz}\right) = {1 \over 23}\]
\[\log_2\left({z \over xy}\right) = {1 \over 345}\]
Тогда значение $\left|\log_2(x^{205}y^{215}z^{1446})\right|$ равно $\tfrac{m}{n}$, где $m$ и $n$ — взаимно простые положительные целые числа. Найдите $m + n$. Пусть ответ равен $k$. Пусть $O(0,0), A(k, 0)$ и $B(0, k\sqrt{3})$ — точки на координатной плоскости. Пусть $\mathcal{F}$ — семейство отрезков $\overline{PQ}$ единичной длины, лежащих в первой четверти, где $P$ лежит на оси $x$, а $Q$ лежит на оси $y$. Существует единственная точка $C$ на отрезке $\overline{AB}$, отличная от $A$ и $B$, которая не принадлежит никакому отрезку из $\mathcal{F}$, кроме $\overline{AB}$. Тогда $OC^2 = \tfrac{p}{q}$, где $p$ и $q$ — взаимно простые положительные целые числа. Найдите $p + q$.",74530187,1→2
"Пусть $O(0,0), A(12, 0)$ и $B(0, 12\sqrt{3})$ — точки на координатной плоскости. Пусть $\mathcal{F}$ — семейство отрезков $\overline{PQ}$ единичной длины, лежащих в первой четверти, где $P$ лежит на оси $x$, а $Q$ лежит на оси $y$. Существует единственная точка $C$ на отрезке $\overline{AB}$, отличная от $A$ и $B$, которая не принадлежит никакому отрезку из $\mathcal{F}$, кроме $\overline{AB}$. Тогда $OC^2 = \frac{p}{q}$, где $p$ и $q$ — взаимно простые положительные целые числа. Найдите $p + q$. Пусть ответ равен $k$. Джен участвует в лотерее, выбирая 13 различных чисел из множества $S = \{1,2,3,\cdots,k\}$. 13 чисел выбираются случайным образом из множества $S$. Она выигрывает приз, если как минимум два ее числа совпадают с двумя из случайно выбранных чисел, и выигрывает главный приз, если все 13 ее чисел совпадают со случайно выбранными числами. Вероятность того, что она выиграет главный приз при условии, что она выиграла приз, равна $\frac{m}{n}$, где $m$ и $n$ — взаимно простые положительные целые числа. Найдите $m + n$.",281763944605283135556,2→3
"Джен участвует в лотерее, выбирая 3 различные числа из множества S = {1,2,3,...,224}. 3 числа выбираются случайным образом из множества S. Она выигрывает приз, если как минимум два ее числа совпадают с двумя из случайно выбранных чисел, и выигрывает главный приз, если все 3 ее числа совпадают со случайно выбранными числами. Вероятность того, что она выиграет главный приз при условии, что она выиграла приз, равна m/n, где m и n - взаимно простые положительные целые числа. Найдите m + n. Пусть ответ равен k. Алиса и Боб играют в следующую игру. Перед ними лежит стопка из k фишек. Игроки по очереди берут фишки, при этом Алиса начинает первой. На каждом ходу игрок убирает либо 1, либо 4 фишки из стопки. Тот, кто уберет последнюю фишку, выигрывает. Найдите количество положительных целых чисел n, меньших или равных k, для которых существует такая стратегия для Боба, которая гарантирует ему победу вне зависимости от действий Алисы.",266,3→4
"Алиса и Боб играют в следующую игру. Перед ними лежит стопка из 2886 фишек. Игроки по очереди берут фишки, при этом Алиса начинает первой. На каждом ходу игрок убирает либо 1, либо 4 фишки из стопки. Тот, кто уберет последнюю фишку, выигрывает. Найдите количество положительных целых чисел n, меньших или равных 2886, для которых существует такая стратегия для Боба, которая гарантирует ему победу вне зависимости от действий Алисы. Пусть ответ равен k. k окружностей радиуса 133 касаются друг друга последовательно, и две окружности касаются сторон $AB$ и $BC$ треугольника $ABC$ соответственно. 865 окружностей радиуса 161 можно расположить таким же образом. Радиус вписанной окружности треугольника $ABC$ может быть представлен как $\frac{m}{n}$, где $m$ и $n$ — взаимно простые положительные целые числа. Найдите $m+n$.",886086,4→5
"1639 окружностей радиуса $9$ касаются друг друга последовательно, и две из этих окружностей касаются сторон $AB$ и $BC$ треугольника $ABC$ соответственно. 1432 окружности радиуса $10$ можно расположить таким же образом. Радиус вписанной окружности треугольника $ABC$ может быть представлен как $\frac{m}{n}$, где $m$ и $n$ — взаимно простые положительные целые числа. Найдите $m + n$. Пусть ответ равен $k$. Пусть $f(x)=|| x|-\tfrac{1}{2}|$ и $g(x)=|| x|-\tfrac{1}{4}|$. Найдите количество точек пересечения графиков функций \[y = 4 \left\lfloor \frac{k}{4} \right\rfloor g(f(\sin (2 \pi x))) \quad\text{и}\quad x = 4 \left\lfloor \frac{8}{4} \right\rfloor g(f(\cos (3 \pi y))).\]",67585,5→6
"Пусть $f(x)=|| x|-\tfrac{1}{2}|$ и $g(x)=|| x|-\tfrac{1}{4}|$. Найдите количество точек пересечения графиков функций \[y=4 \left\lfloor \frac{6}{4} \right\rfloor g(f(\sin (2 \pi x))) \quad\text{ и }\quad x=4 \left\lfloor \frac{27}{4} \right\rfloor g(f(\cos (3 \pi y))).\] Пусть ответ равен $k$. Каждая вершина правильного ${k\bmod 12 + 4}$‑угольника независимо окрашена либо в красный, либо в синий цвет с одинаковой вероятностью. Найдите вероятность того, что затем многоугольник можно повернуть так, чтобы все синие вершины оказались на позициях, где изначально были красные вершины. Данная вероятность равна $\tfrac{m}{n}$, где $m$ и $n$ — взаимно простые положительные целые числа. Чему равно $m + n$?",3,6→7
"Каждая вершина правильного ${401\bmod 12 + 4}$‑угольника независимо окрашена либо в красный, либо в синий цвет с одинаковой вероятностью. Вероятность того, что многоугольник можно затем повернуть так, чтобы все синие вершины оказались на позициях, где изначально были красные вершины, равна $\frac{m}{n}$, где $m$ и $n$ — взаимно простые положительные целые числа. Чему равно $m + n$. Пусть ответ равен $k$. Найдите число троек неотрицательных целых чисел $(a,b,c)$, удовлетворяющих условиям $a + b + c = 3\times 10^{k}$ и \[a^2b + a^2c + b^2a + b^2c + c^2a + c^2b = 6\times {10^3}^{k}.\]",3979,7→8
"Найдите число троек неотрицательных целых чисел $(a,b,c)$, удовлетворяющих условиям $a + b + c = 3\times 10^{151}$ и \[a^2b + a^2c + b^2a + b^2c + c^2a + c^2b = 6\times {10^3}^{151}.\] Пусть ответ равен $k$. Существуют действительные числа $x$ и $y$, оба больше 1, такие что $\log_x\left(y^x\right)=\log_y\left(x^{1y}\right)=k$. Найдите $xy$.",889249,8→9
"Существуют действительные числа $x$ и $y$, оба больше 1, такие что $\log_x\left(y^x\right)=\log_y\left(x^{20y}\right)=10$. Найдите $xy$. Пусть ответ равен $k$. Алиса выбирает множество $A$ положительных целых чисел. Затем Боб перечисляет все конечные непустые множества $B$ положительных целых чисел, обладающие свойством, что максимальный элемент $B$ принадлежит $A$. Список Боба содержит $k$ множеств. Найдите сумму элементов $A$.",4,9→10
"Алиса выбирает множество $A$ положительных целых чисел. Затем Боб перечисляет все конечные непустые множества $B$ положительных целых чисел, обладающие свойством, что максимальный элемент $B$ принадлежит $A$. Список Боба содержит 523 множества. Найдите сумму элементов $A$. Пусть ответ равен $k$. Найдите наибольшую возможную вещественную часть

$$
(k + 225i)z + \frac{96 + 144i}{z},
$$

где $z$ — комплексное число с модулем $|z| = 4$. Вещественная часть может быть записана в виде $\frac{\sqrt m}{\sqrt n}$, где $m$ и $n$ — положительные целые числа, и они взаимно просты. Найдите $m + n$.",55649,10→11
