"لنفترض أن $x$، $y$ و $z$ أعداد حقيقية موجبة تحقق النظام التالي من المعادلات:

\[\log_2\left({x \over yz}\right) = {1 \over 935}\]
\[\log_2\left({y \over xz}\right) = {1 \over 23}\]
\[\log_2\left({z \over xy}\right) = {1 \over 345}\]

حينئذٍ قيمة $\left|\log_2(x^{205}y^{215}z^{1446})\right|$ هي $\tfrac{m}{n}$ حيث $m$ و $n$ عددان صحيحان موجبان أوليان نسبيًا. احسب $m+n$. لن يكون الإجابة هي $k$. لنفترض أن $O(0,0), A(k, 0),$ و $B(0, k\sqrt{3})$ نقاط في المستوى الإحداثي. لنفترض أن $\mathcal{F}$ هي عائلة القطع $\overline{PQ}$ ذات الطول الواحد الموجودة في الربع الأول حيث يقع $P$ على المحور $x$ و $Q$ على المحور $y$. هناك نقطة فريدة $C$ على $\overline{AB}$، مختلفة عن $A$ و $B$، والتي لا تنتمي لأي قطعة من $\mathcal{F}$ بخلاف $\overline{AB}$. ثم $OC^2 = \tfrac{p}{q}$، حيث $p$ و $q$ عددان صحيحان موجبان أوليان نسبيًا. احسب $p + q$.",74530187,1→2
"لتكن $O(0,0), A(12, 0),$ و $B(0, 12\sqrt{3})$ نقاطًا في المستوى الإحداثي. لتكن $\mathcal{F}$ هي مجموعة القطع $\overline{PQ}$ ذات الطول الواحد الموجودة في الربع الأول مع $P$ على المحور $x$ و $Q$ على المحور $y$. يوجد نقطة فريدة $C$ على $\overline{AB}$، مختلفة عن $A$ و $B$، والتي لا تنتمي لأي قطعة من $\mathcal{F}$ بخلاف $\overline{AB}$. ثم $OC^2 = \frac{p}{q}$، حيث $p$ و $q$ عددان صحيحان موجبان أوليان نسبيًا. احسب $p + q$. لن يكون الجواب هو $k$. تشارك جين في سحب اليانصيب من خلال اختيار 13 رقمًا متميزًا من $S = \{1,2,3,\cdots,k\}$. يتم اختيار 13 رقمًا عشوائيًا من $S$. إنها تحصل على جائزة إذا كان اثنين على الأقل من أرقامها من بين الأرقام المختارة، وتحصل على الجائزة الكبرى إذا تم اختيار جميع 13 رقمًا من أرقامها. احتمال أن تحصل على الجائزة الكبرى بشرط أنها حصلت على جائزة هو $\frac{m}{n}$، حيث $m$ و $n$ عددان صحيحان موجبان أوليان نسبيًا. احسب $m + n$. ",281763944605283135556,2→3
"تشارك جين في سحب اليانصيب من خلال اختيار 3 أرقام مختلفة من المجموعة $S = \{1,2,3,\cdots,224\}$. يتم اختيار 3 أرقام عشوائيًا من $S$. تربح جين جائزة إذا تطابقت اثنين على الأقل من أرقامها مع اثنين من الأرقام المختارة عشوائيًا، وتربح الجائزة الكبرى إذا تطابقت جميع 3 أرقامها مع الأرقام الثلاث المختارة عشوائيًا. احتمال أن تربح الجائزة الكبرى بشرط أنها ربحت جائزة ما هو $\frac{m}{n}$، حيث $m$ و $n$ عددان صحيحان موجبان أوليان نسبيًا. أوجد $m + n$. لن يكون الإجابة هي $k$.
أليس وبوب يلعبان اللعبة التالية. توجد كومة من $k$ قطعة أمامهما. يأخذ اللاعبون أدوارًا باللعب، حيث تبدأ أليس أولاً. في كل دور، يقوم اللاعب بإزالة إما قطعة واحدة أو أربع قطع من الكومة. اللاعب الذي يزيل القطعة الأخيرة يفوز. ابحث عن عدد الأعداد الصحيحة الموجبة $n$ الأصغر من أو مساوية لـ $k$ حيث يوجد لبوب استراتيجية تضمن له الفوز بغض النظر عن طريقة لعب أليس. ",266,3→4
ألِس وبوب يلعبان اللعبة التالية. توجد كومة من 2886 قطعة أمامهما. يأخذ اللاعبون أدوارًا باللعب، حيث تبدأ أليس أولاً. في كل دور، يقوم اللاعب بإزالة إما قطعة واحدة أو أربع قطع من الكومة. اللاعب الذي يزيل القطعة الأخيرة يفوز. ابحث عن عدد الموجبين الصحيحين n الأصغر من أو المساوي لـ 2886 حيث يوجد لبوب استراتيجية تضمن له الفوز بغض النظر عن طريقة لعب أليس. لن يكون الإجابة هي $k$. $k$ دائرة نصف قطرها 133 تمس بعضها البعض بشكل متسلسل، ويدخل في مماسّة دائرتين من هذه الدوائر الضلعين $AB$ و $BC$ من المثلث $ABC$ على التوالي. ويمكن ترتيب 865 دائرة نصف قطرها 161 بنفس الطريقة. يمكن التعبير عن نصف قطر الدائرة الداخلية للمثلث $ABC$ على شكل $\frac{m}{n}$، حيث $m$ و $n$ عددان صحيحان موجبان أوليان نسبيًا. احسب $m + n$.,886086,4→5
"1639 دائرة نصف قطرها 9 تمس بعضها البعض بشكل متسلسل، ويتصلان اثنان من هذه الدوائر بضلعي AB و BC للمثلث ABC على التوالي. ويمكن ترتيب 1432 دائرة نصف قطرها 10 بنفس الطريقة. يمكن التعبير عن نصف قطر الدائرة الداخلية للمثلث ABC على شكل m/n، حيث m و n عددان صحيحان موجبان أوليان نسبيًا. احسب m + n. لن يكون الجواب k. نُعرّف f(x)=|| x| - 1/2| و g(x)=|| x| - 1/4|. أوجد عدد نقاط تقاطع الرسمين البيانيين للدوال:
\[y = 4 \left\lfloor \frac{k}{4} \right\rfloor g(f(\sin (2 \pi x))) \quad\text{و}\quad x = 4 \left\lfloor \frac{8}{4} \right\rfloor g(f(\cos (3 \pi y))).\]",67585,5→6
"نُعرّف $f(x)=|| x|-\tfrac{1}{2}|$ و$g(x)=|| x|-\tfrac{1}{4}|$. أوجد عدد نقاط تقاطع منحنيات 
\[y=4 \left\lfloor \frac{6}{4} \right\rfloor g(f(\sin (2 \pi x))) \quad\text{و}\quad x=4 \left\lfloor \frac{27}{4} \right\rfloor g(f(\cos (3 \pi y))).\]
دع الجواب يكون $k$. يتم تلوين كل رأس من رؤوس مضلع منتظم ${k\bmod 12 + 4}$ إما بالأحمر أو بالأزرق بشكل مستقل باحتمال متساوٍ. ما هو احتمال أن يمكن بعد ذلك تدوير المضلع بحيث تصل جميع الرؤوس الزرقاء إلى مواضع كانت في الأصل حمراء؟ هذا الاحتمال يُكتب على الصورة $\tfrac{m}{n}$، حيث $m$ و $n$ عددان صحيحان موجبان أوليان نسبيًا. ما هي قيمة $m + n$؟",3,6→7
"يتم تلوين كل رأس من الأركان ${401\bmod 12 + 4}$ لمضلع منتظم إما بالأحمر أو بالأزرق بشكل مستقل باحتمال متساوٍ. احتمال أن يمكن بعد ذلك تدوير المضلع بحيث تصل جميع الرؤوس الزرقاء إلى مواضع كانت في الأصل حمراء هو $\tfrac{m}{n}$، حيث $m$ و $n$ عددان صحيحان موجبان أوليان نسبيًا. ما هي قيمة $m + n$؟ لن يكون الإجابة هي $k$. أوجد عدد ثلاثيات الأعداد الصحيحة غير السالبة $(a,b,c)$ التي تحقق $a + b + c = 3\times 10^{k}$ و \[a^2b + a^2c + b^2a + b^2c + c^2a + c^2b = 6\times {10^3}^{k}.\]",3979,7→8
"أوجد عدد ثلاثيات الأعداد الصحيحة غير السالبة $(a,b,c)$ التي تحقق $a + b + c = 3\times 10^{151}$ و \[a^2b + a^2c + b^2a + b^2c + c^2a + c^2b = 6\times {10^3}^{151}.\]
دع النتيجة تكون $k$.
يوجد عددان حقيقيان $x$ و $y$، كلاهما أكبر من 1، بحيث $\log_x\left(y^x\right)=\log_y\left(x^{1y}\right)=k$. أوجد قيمة $xy$.",889249,8→9
يوجد عددان حقيقيان $x$ و$y$، كلاهما أكبر من 1، بحيث $\log_x\left(y^x\right)=\log_y\left(x^{20y}\right)=10$. أوجد قيمة $xy$. لن يكون الجواب $k$. تختار آليس مجموعة $A$ من الأعداد الصحيحة الموجبة. ثم يقوم بوب بسرد جميع المجموعات غير الخالية وذات العناصر المحدودة $B$ التي تملك الخاصية التالية: عنصر المجموعة $B$ الأكبر ينتمي إلى المجموعة $A$. ويحتوي قائمة بوب على $k$ مجموعة. احسب مجموع عناصر المجموعة $A$.,4,9→10
"تختار آليس مجموعة $A$ من الأعداد الصحيحة الموجبة. ثم يقوم بوب بسرد جميع المجموعات غير الخالية وذات العناصر المحدودة $B$ التي تملك الخاصية التالية: عنصر المجموعة $B$ الأكبر ينتمي إلى المجموعة $A$. ويحتوي قائمة بوب على 523 مجموعة. احسب مجموع عناصر المجموعة $A$. لن يكون الجواب هو $k$. ابحث عن أكبر جزء حقيقي ممكن من \[(k + 225i)z + \frac{96 + 144i}{z} \] حيث $z$ هو عدد مركب بحيث أن $|z| = 4$. يمكن كتابة الجزء الحقيقي في الشكل $\frac{\sqrt m}{\sqrt n}$, حيث $m$ و $n$ أعداد صحيحة موجبة ويتكونان من أعداد أولية متقاربة. احسب $m+n$.",55649,10→11
