"问题一： Olivia 用某种规则创造了如下数列：10, 21, 32, 43, 54。这个数列是等差数列，相邻两个数的差是多少？","11","问题二：如果起始数字不是10，而是11，按照相同的规律，这个新数列的第五个数字是多少","55"
"问题一：有30名球员想在公园打篮球，每队正好需要5名球员。一共可以组建多少支队伍？","6","问题二：如果有42名球员，还是组建之前数量的队伍，那么每一支队伍有多少名球员？","7"
"问题一：一家商店出售97种不同颜色的油漆。仓库里每种颜色有23罐，这家商店有多少罐油漆？","2231","问题二：如果这家商店丢失了27罐油漆，则商店还剩多少罐油漆？","2204"
"问题一：在等式 24 = 2p 中，p 的值是多少？","12","问题二：根据你求出的p的值，计算5p+13的值是多少？","73"
"问题一：帕雷斯女士在5天内总共开了40英里的车。她每天开的英里数是相同的。帕雷斯女士每天开了多少英里？","8","问题二：如果帕雷斯女士再开3天，她一共开了多少英里","64"
"问题一：求 −40 ÷ (−8) 的商","5","问题二：求得的商乘23的结果是多少？","115"
"问题一：一个足球队有90美元用来购买足球。如果一个足球的价格是15.60美元，这个队伍最多能买多少个足球？","5","问题二：假设一个篮球队想买相同数量的篮球，一个篮球14.70美元，则篮球队需要多少美元来买篮球？","73.5"
"问题一：3 × [(2 × 6 – 5) + (8 ÷ 4)] – 1 这个表达式的值是多少？","26","问题二：这个值乘19的结果是多少？","494"
"问题一：求 2.16 ÷ 0.06 的商是多少？","36","问题二：这个商乘0.09的结果是多少？","3.24"
"问题一：计算 142.76 - 16.5 的差","126.26","问题二：计算这个差加上37.99的和","164.25"
"问题一：求 5.04 除以 0.7 的商是多少？","7.2","问题二：这个商减去9.99的差是多少？","-2.79"
"问题一：吉米和基玛要去旅行。他们将开车三天。第一天他们将开182英里。第二天他们将开439英里。第三天他们将开217英里。他们三天一共开了多少英里？","838","问题二：如果他们第四天开了222英里，则四天一共开了多少英里？","1060"
"问题一：21除以7的余数是多少？","0","问题二：得到的余数乘98，结果是多少？","0"
"问题一：Maddie 在7天内总共要骑行56英里，她每天骑行的英里数相同。Maddie 每天将骑行多少英里？","8","问题二：如果Maddie决定在之后的3天里，每天多骑行3英里，则未来三天她将骑行多少英里？","33"
"问题一：哪个是最划算的？,10块肥皂23.20美元,16块肥皂36.48美元,13块肥皂29.51美元,12块肥皂27.60美元，请算出最划算的单块肥皂价格","2.27","如果还有一款香皂，5块15美元，请算出最划算的单块肥皂价格","2.27"
"问题一：Trish的静息心率是每分钟50次。每锻炼一分钟，她的心率就增加5次。她需要多长时间才能达到每分钟120次心率？","14","问题二：如果她每分钟心率增加7次，经过这段时间，她的心率会增长到多少？","148"
"问题一：在数据集23, 13, 18, 29, 32, 25中找出中位数。","24","问题二：如果这个中文数在数据集中，则删除这个数字，现在这个数据集的中位数是多少？","24"
"问题一：杰克从苹果树上摘了60个苹果。他用其中的12个做了苹果酱。他将剩余的苹果平均分到6个礼品篮中。杰克放入每个礼品篮中的苹果数量是多少？","8","问题二：如果他给每个礼品篮少放2个苹果，他还剩下几个苹果","12"
"问题一：某地图的比例尺为1英寸等于25英里。这张地图上5英寸代表多少英里？","125","问题二：如果把比例尺改为1英寸等于27英里呢？","135"
"问题一：求 4 ÷ 2 • 2 + 8 − 4 的值","8","问题二：用v表示求得的值，则3v+25的值为？","49"
"问题一：−4 + (−3) =","-7","问题二：求得的值-39的结果是？","-46"
"问题一：Mark在收藏邮票。他有来自日本的22枚邮票，来自加拿大的34枚邮票，以及来自墨西哥的17枚邮票。他总共有多少枚邮票？","73","问题二：如果Mary送给他14张邮票，他现在有多少邮票？","87"
"问题一：利用分配律心算5.7乘以8的结果","45.6","问题二：心算结果和23.1的乘积是多少？","1053.36"
"问题一：表达式 2,314 / 4 的商是多少？","578.5","问题二：这个商减去57.93的结果是？","520.57"
"问题一：一名装配线工人用7小时制造22个部件。按照这个速度，她35小时内能生产多少个部件？","110","问题二：如果她开始偷懒，平均每个小时少生产2个零件，则她35小时内能生产多少个部件？","40"
"问题一：当 n = 11 时，10 - (n + 6) 的值是多少？","-7","问题二：当 n = 101 时呢？","-97"
"问题一：令 12-9+c=12。c取什么值可以使等式成立？","9","问题二：根据前面算出的c的值，计算44c+27的值是多少","423"
"问题一：表达式 2(3(4^2 + 1)) - 2^3 的值是多少？","94","问题二：得到的值乘31是多少？","2914"
"问题一：Gwen在一张纸上写下了以下数字模式。1, 5, 9, 13。Gwen的模式中下一个数字是什么？","17","问题二：Gwen的模式中第15个数字是什么？","57"
"问题一：如果3罐梨子的成本是2.37美元，那么你可以用9.48美元买多少罐梨子？","12","问题二：如果梨子的成本变为4.74美元，则可以用9.48美元买多少罐梨子？","6"
