"$N \times N$ 個の区別のつかない白いチップと $N \times N$ 個の区別のつかない黒いチップがある。以下の条件を満たすように、これらのチップの一部を $N \times N$ のグリッドの単位セルに配置する方法の数は $902$ である。
- 各セルには高々1つのチップが置かれる
- 同じ行に含まれるすべてのチップおよび同じ列に含まれるすべてのチップは、それぞれ同じ色を持つ
- グリッド上にさらに1つチップを追加すると、上記のいずれかの条件が破られる

このとき、$N$ を求めよ。",7,4,6,5,D
2以上の整数 $b$ に対して、$n$ を$b$進法で表したときにちょうど2桁であり、かつその2つの桁の和が$\sqrt{n}$に等しいような正の整数$n$を$b$\textit{-eautiful}（$b$-美しい）と呼ぶことにする。例えば、81は13-eautifulである。なぜなら $81=\underline{6}\underline{3}_{13}$ と表され、$6+3=\sqrt{81}$ となるからである。このような$b$-beautifulな整数が10個より多く存在するような最小の整数$b \geq 2$を求めよ。,x,x,x,x,x
すべての対辺が平行であるような凸な正六角形ABCDEFがある。線分AB、CD、EFを延長してできる三角形の辺の長さはそれぞれ200、240、およびNである。この六角形の一辺の長さは80である。Nを求めよ。,280,300,220,260,B
A、B、C、D を双曲線 $\frac{x^2}{N} - \frac{y^2}{24} = 1$ 上の点とし、ABCD は対角線が原点で交わるひし形であるとする。すべてのこのようなひし形に対して $BD^2$ より常に小さい最大の実数は 480 である。このとき $N$ を求めよ。,10,40,20,30,C
"正の整数からなるリストは以下の性質を持つ。

・リスト内のすべての要素の平方和は236である。

・リストの唯一の最頻値（モード）は9である。

・リストの中央値は、リストに現れない正の整数である。

このリストの要素の和を求めよ。",25,30,40,35,B
Aimevilleには900人の住民がおり、そのうち367人がゴルフクラブ一式を所有し、562人が庭のスコップを所有している。また、900人全員がキャンディーハートの袋を1つずつ所有している。437人の住民がこれら4つのものの中からちょうど2つを所有しており、234人の住民がちょうど3つを所有している。これら4つのものをすべて所有している住民の数は73人である。ダイヤモンドの指輪を持っている人の数を求めよ。,300,195,120,250,B
三角形 $ABC$ は円 $\omega$ に内接している。点 $B$、$C$ における $\omega$ の接線が点 $D$ で交わるとし、直線 $AD$ が $\omega$ と再び点 $P$ で交わるとする。$AB=5$、$AP=\tfrac{100}{13}$、$AC=10$ であるとき、$BC$ の長さを求めよ。,8,11,7,9,D
トーラス $ T $ は、中心から距離 $ 6 $ の位置にある軸の周りを半径 $ 3 $ の円が回転することによってできる曲面である（ドーナツのような形）。半径 $ N $ の球 $ S $ を考える。$ T $ を $ S $ の内側に置いたとき、$ T $ は $ S $ に内接し、半径 $ r_i $ の円に沿って接する。また、$ T $ を $ S $ の外側に置いたとき、$ T $ は $ S $ に外接し、半径 $ r_o $ の円に沿って接する。このとき、差 $ r_i - r_o $ は $ \frac{99}{28} $ である。$ N $ を求めよ。,11,9,10,12,A
ABCDを、AB = CD = √41、AC = BD = √80、BC = AD = √N を満たす四面体とする。この四面体の内部に点Iが存在して、Iから四面体の各面までの距離がすべて等しくなる。この距離は 20√21 / 63 である。Nを求めよ。,89,79,109,99,A
"長方形 $ABCD$ と $EFGH$ が、$D, E, C, F$ が同一直線上にあるように描かれている。また、点 $A, D, H, G$ はすべて一つの円周上にある。$BC = 16$、$AB = 107$、$CE = 104$、$EF = 184$ のとき、$FG$ の長さを求めよ。",15,19,21,17,D
"$\omega \neq 1$ を13乗根のうち1でないものとする。このとき、
\[ \prod_{k=0}^{12}(2 - 2\omega^k + \omega^{2k}) \]
を1000で割った余りを求めよ。",x,x,x,x,x
